,title,artists
0,Kill Bill,SZA
1,Last Night,Morgan Wallen
2,Flowers,Miley Cyrus
3,Princess Diana,Ice Spice & Nicki Minaj
4,Ella Baila Sola,Eslabon Armado X Peso Pluma
5,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
6,Calm Down,Rema & Selena Gomez
7,Die For You,The Weeknd & Ariana Grande
8,Search & Rescue,Drake
9,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
10,Anti-Hero,Taylor Swift
11,La Bebe,Yng Lvcas x Peso Pluma
12,Chemical,Post Malone
13,Favorite Song,Toosii
14,Un x100to,Grupo Frontera X Bad Bunny
15,Players,Coi Leray
16,Rock And A Hard Place,Bailey Zimmerman
17,You Proof,Morgan Wallen
18,Fast Car,Luke Combs
19,Sure Thing,Miguel
20,As It Was,Harry Styles
21,Thinkin' Bout Me,Morgan Wallen
22,Lavender Haze,Taylor Swift
23,One Thing At A Time,Morgan Wallen
24,Thought You Should Know,Morgan Wallen
25,I'm Good (Blue),David Guetta & Bebe Rexha
26,Under The Influence,Chris Brown
27,Thank God,Kane Brown With Katelyn Brown
28,Something In The Orange,Zach Bryan
29,Escapism,RAYE Featuring 070 Shake
30,Slut Me Out,NLE Choppa
31,Por Las Noches,Peso Pluma
32,Unholy,Sam Smith & Kim Petras
33,Wait In The Truck,HARDY Featuring Lainey Wilson
34,PRC,Peso Pluma X Natanael Cano
35,Just Wanna Rock,Lil Uzi Vert
36,Handle On You,Parker McCollum
37,Dancin' In The Country,Tyler Hubbard
38,Snooze,SZA
39,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
40,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
41,TQG,Karol G x Shakira
42,Rich Flex,Drake & 21 Savage
43,Love You Anyway,Luke Combs
44,Spin Bout U,Drake & 21 Savage
45,Next Thing You Know,Jordan Davis
46,Eyes Closed,Ed Sheeran
47,Daylight,David Kushner
48,Heart Like A Truck,Lainey Wilson
49,Cupid,Fifty Fifty
50,Wild As Her,Corey Kent
51,Bebe Dame,Fuerza Regida X Grupo Frontera
52,Bloody Mary,Lady Gaga
53,Tennessee Orange,Megan Moroney
54,Fight The Feeling,Rod Wave
55,Peaches,Jack Black
56,Low Down,Lil Baby
57,Beso,Rosalia & Rauw Alejandro
58,El Azul,Junior H x Peso Pluma
59,Red Ruby Da Sleeze,Nicki Minaj
60,Ain't That Some,Morgan Wallen
61,Never Felt So Alone,Labrinth
62,Nonsense,Sabrina Carpenter
63,Everything I Love,Morgan Wallen
64,See You Again,"Tyler, The Creator Featuring Kali Uchis"
65,I Wrote The Book,Morgan Wallen
66,Cowgirls,Morgan Wallen Featuring ERNEST
67,Man Made A Bar,Morgan Wallen Featuring Eric Church
68,Ch y La Pizza,Fuerza Regida X Natanael Cano
69,Need A Favor,Jelly Roll
70,Yandel 150,Yandel & Feid
71,In Ha Mood,Ice Spice
72,Trance,"Metro Boomin, Travis Scott & Young Thug"
73,ICU,Coco Jones
74,El Gordo Trae El Mando,Chino Pacas
75,All Of The Girls You Loved Before,Taylor Swift
76,Gold,Dierks Bentley
77,Dogtooth,"Tyler, The Creator"
78,Painting Pictures,Superstar Pride
79,Ceilings,Lizzy McAlpine
80,Human,Cody Johnson
81,Que Vuelvas,Carin Leon X Grupo Frontera
82,Strike (Holster),Lil Yachty
83,Sunrise,Morgan Wallen
84,Like Crazy,Jimin
85,Dawns,Zach Bryan Featuring Maggie Rogers
86,Happy,NF
87,Chanel,Becky G & Peso Pluma
88,Forever,Lil Baby Featuring Fridayy
89,Igualito A Mi Apa,Fuerza Regida & Peso Pluma
90,Special,Lizzo Featuring SZA
91,5 Leaf Clover,Luke Combs
92,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
93,Heaven,Niall Horan
94,Don't Play With It,Lola Brooke X Latto X Yung Miami Or Featuring Billy B
95,Memory Lane,Old Dominion
96,Love Again,The Kid LAROI
97,'98 Braves,Morgan Wallen
98,Di Que Si,Grupo Marca Registrada X Grupo Frontera
99,It Matters To Her,Scotty McCreery
